region,country,country.code,rank.intercept,rank.slope,gini,cluster,number.kids,cluster.2
4715,Canada,0,43.07477622,0.362100485,37.92652685,2,2566.112954,1
4716,Canada,0,39.82713987,0.461742466,43.72673136,4,1265.783357,2
4717,Canada,0,40.95697209,0.488379571,44.66838825,4,1234.385105,2
4718,Canada,0,16.65144694,0.775853313,57.20031344,4,914.3010573,2
4801,Canada,0,52.74620933,0.111091519,36.21733053,1,1908.133916,1
4802,Canada,0,39.58638042,0.291625191,39.55787581,2,4180.151413,1
4803,Canada,0,34.7845153,0.352893737,41.24948862,4,1313.783939,2
4804,Canada,0,60.63926275,0.080987765,33.51598618,,366.7890346,
4805,Canada,0,39.70784822,0.392944116,39.02485162,4,1279.071655,2
4806,Canada,0,44.36013847,0.194246188,48.33052507,1,24410.63396,1
4807,Canada,0,54.10123563,0.166869389,34.74114919,1,1340.763543,1
4808,Canada,0,47.66559219,0.215343097,37.24410898,1,4246.353514,1
4809,Canada,0,48.91975668,0.265268394,44.15531227,1,539.7174736,1
4810,Canada,0,51.85411044,0.19393682,42.93758507,1,2448.123476,1
4811,Canada,0,45.44307777,0.226515609,41.22554878,1,26123.57439,1
4812,Canada,0,43.27561982,0.444392214,43.74418174,4,1911.923776,2
4813,Canada,0,50.24124829,0.227233957,38.18452367,1,2017.48529,1
4814,Canada,0,49.76739163,0.167885827,32.62326666,1,846.9179738,1
4815,Canada,0,30.47040795,0.448269087,41.94354217,4,634.399956,2
4816,Canada,0,47.63458035,0.249971209,32.45763129,1,1195.33103,1
4817,Canada,0,36.58624666,0.414324258,48.71215546,4,1747.991782,2
4818,Canada,0,41.20106191,0.393289258,38.71365545,4,480.4109989,2
4819,Canada,0,50.53468052,0.194013292,37.17563781,1,2528.434118,1
5901,Canada,0,45.64178665,0.193427525,32.46366457,1,1727.846971,1
5903,Canada,0,40.50646908,0.204937757,56.6905988,2,1576.069293,1
5905,Canada,0,42.22993631,0.258992971,32.9186112,2,1041.700567,1
5907,Canada,0,37.7362062,0.234414791,40.63125247,2,1819.344885,2
5909,Canada,0,37.14796764,0.230286744,39.37947455,2,6548.0514,2
5915,Canada,0,34.63994336,0.245845183,46.83763637,3,45207.87226,2
5917,Canada,0,35.82152361,0.21188357,38.52965845,2,7414.710131,2
5919,Canada,0,35.73291989,0.232146613,37.4703792,2,2045.446671,2
5921,Canada,0,35.24255416,0.263385229,38.2511978,2,3083.274483,2
5923,Canada,0,30.19070249,0.372495722,36.65950298,,931.7627884,
5925,Canada,0,38.34854051,0.222148413,36.62000341,2,2668.963325,1
5927,Canada,0,41.8495625,0.132303599,33.16800829,,478.0098988,
5929,Canada,0,37.19803276,0.211429392,40.25993959,2,571.9236364,2
