census.division.name,CD86,native.reserve,province.name,province,census.division,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
Division No.8,4608,0,MB,46,4608,480,610,0.273,0.043,31.5,1.75,0.061,22294,0.419,0.355,24293,32731,10500,16730,19337,30504,32794,44137,51177,62031,87055,90476,0.019,0.004,0.158,0.382,0.029,-0.003,0.0007,6.76,0.318,0.347,0.0325
Division No.9,4609,0,MB,46,4609,845,1052,0.230,0.031,32.9,1.67,0.050,27670,0.341,0.539,35410,35600,19147,19909,32400,32599,46817,46816,62176,63411,111548,101708,0.014,0.006,0.231,0.352,0.026,-0.003,0.0005,8.26,0.268,0.196,0.0262
Division No.10,4610,0,MB,46,4610,284,345,0.130,0.055,43.9,3.13,0.016,26919,0.325,0.583,39291,41036,22253,24092,35246,38310,49172,51818,67683,67356,135994,201898,0.007,0.004,0.141,0.221,0.042,-0.001,0.0007,9.20,0.564,0.119,0.0542
Division No.11,4611,0,MB,46,4611,22911,28650,0.268,0.006,34.1,0.34,0.071,27426,0.362,0.543,41741,40952,24138,22698,37334,36112,51564,50789,72417,68381,155793,143774,0.008,0.007,0.300,0.311,0.005,-0.003,0.0001,8.22,0.046,0.208,0.0045
Division No. 12,4612,0,MB,46,4612,698,856,0.131,0.036,41.9,2.00,0.016,25150,0.318,0.588,37941,38832,22271,22637,34677,36104,47421,51249,63841,65858,131097,102281,0.003,0.001,0.169,0.201,0.027,-0.001,0.0005,9.55,0.339,0.080,0.0327
Division No. 13,4613,1,MB,46,4613,1657,2012,0.173,0.023,39.6,1.35,0.028,26475,0.324,0.570,41652,40209,24973,24518,38098,37069,51448,50399,70217,67312,137046,122825,0.001,0.001,0.235,0.244,0.019,-0.002,0.0003,8.92,0.209,0.143,0.0200
Division No. 14,4614,0,MB,46,4614,560,675,0.187,0.039,41.1,2.12,0.033,23574,0.322,0.594,36782,40518,22296,25444,33014,37106,45870,51044,62354,66424,105627,108158,0.002,0.009,0.177,0.226,0.028,-0.002,0.0005,8.90,0.330,0.150,0.0320
Division No. 15,4615,1,MB,46,4615,823,1041,0.231,0.034,37.2,1.52,0.042,23427,0.374,0.462,27800,38788,13928,20384,23250,33899,37356,49765,52770,66052,89018,137197,0.004,0.002,0.154,0.324,0.023,-0.003,0.0005,7.76,0.263,0.256,0.0264
Division No. 16,4616,1,MB,46,4616,461,624,0.359,0.046,32.5,1.75,0.088,21029,0.428,0.351,22083,35247,9606,16903,17433,32982,30635,48878,47658,64836,80972,104640,0.000,0.000,0.195,0.389,0.027,-0.004,0.0007,6.42,0.315,0.390,0.0326
Division No. 17,4617,0,MB,46,4617,1084,1431,0.290,0.028,31.6,1.23,0.069,24292,0.410,0.418,27046,33916,12007,16544,22069,31279,36299,47327,54188,62920,105198,90496,0.006,0.002,0.215,0.398,0.020,-0.004,0.0005,6.62,0.243,0.357,0.0246
Division No. 18,4618,1,MB,46,4618,908,1255,0.370,0.029,25.9,1.08,0.115,22178,0.465,0.320,21384,29806,7495,14723,15860,27015,29673,40964,48414,56892,90435,86179,0.002,0.002,0.261,0.497,0.019,-0.006,0.0005,6.48,0.213,0.369,0.0222
Division No. 19,4619,1,MB,46,4619,356,590,0.527,0.045,7.1,0.98,0.189,10855,0.527,0.130,11084,14000,2966,4290,6847,9187,13822,16809,25915,35097,62516,62690,0.000,0.000,0.427,0.911,0.021,-0.010,0.0010,6.58,0.363,0.280,0.0410
Division No. 20,4620,0,MB,46,4620,480,635,0.284,0.043,35.0,1.78,0.065,23531,0.416,0.384,25471,36358,11481,19558,19214,32539,35012,49798,50439,65084,104623,120023,0.000,0.004,0.210,0.342,0.027,-0.003,0.0006,7.91,0.295,0.241,0.0300
Division No. 21,4621,1,MB,46,4621,898,1216,0.414,0.026,23.5,1.51,0.168,35116,0.384,0.448,37099,35014,16546,15633,35006,33732,51662,50490,69346,63899,118101,99817,0.001,0.000,0.344,0.576,0.024,-0.006,0.0004,6.07,0.271,0.397,0.0265
Division No. 22,4622,1,MB,46,4622,1100,1534,0.644,0.019,7.7,0.93,0.432,42833,0.516,0.281,27646,26417,4170,5236,18812,17791,47002,43285,64651,62010,101945,99015,0.003,0.001,0.286,0.862,0.015,-0.010,0.0003,3.51,0.189,0.629,0.0197
Division No. 23,4623,1,MB,46,4623,253,319,0.542,0.046,11.3,2.69,0.306,46667,0.425,0.359,37862,32655,7938,10135,36553,26332,54606,45374,72709,71862,133201,126721,0.008,0.004,0.340,0.806,0.043,-0.008,0.0007,5.27,0.433,0.464,0.0428
Division No.1,4701,1,SK,47,4701,1289,1783,0.184,0.023,43.7,1.32,0.036,33445,0.387,0.476,41594,44754,19770,25672,34275,40463,53215,55743,77701,71885,164072,154528,0.002,0.002,0.164,0.242,0.018,-0.002,0.0003,8.34,0.198,0.209,0.0191
Division No.2,4702,0,SK,47,4702,1020,1409,0.172,0.027,44.0,1.58,0.027,27976,0.387,0.550,43774,43558,21834,26524,35206,40204,49810,54604,73652,72135,154027,142827,0.000,0.002,0.162,0.189,0.020,-0.001,0.0004,8.73,0.272,0.168,0.0260
Division No.3,4703,1,SK,47,4703,687,1034,0.112,0.033,45.5,1.88,0.011,30993,0.348,0.497,39903,42945,20739,23970,34280,39285,51732,55234,72635,74313,134232,114954,0.012,0.006,0.135,0.218,0.025,-0.001,0.0004,10.04,0.296,0.038,0.0285
Division No.4,4704,1,SK,47,4704,528,777,0.176,0.037,37.9,2.10,0.028,27317,0.343,0.540,38765,45247,21462,21518,33694,33522,48779,51223,70416,69019,131843,133870,0.000,0.000,0.174,0.276,0.030,-0.001,0.0005,8.74,0.376,0.155,0.0363
Division No.5,4705,1,SK,47,4705,1592,2386,0.232,0.021,41.5,1.08,0.049,27900,0.372,0.496,33783,42975,16755,24462,28690,38757,44655,54998,64090,72971,110847,144429,0.000,0.001,0.156,0.250,0.014,-0.002,0.0003,8.34,0.170,0.208,0.0167
Division No.6,4706,1,SK,47,4706,8244,10927,0.259,0.010,36.9,0.60,0.063,30439,0.342,0.494,45205,42935,26769,24444,41372,39324,57208,55154,76783,72358,153146,139168,0.001,0.003,0.277,0.295,0.008,-0.002,0.0001,8.08,0.084,0.225,0.0080
Division No.7,4707,0,SK,47,4707,1782,2465,0.193,0.021,40.2,1.17,0.035,27793,0.342,0.546,39261,41219,21644,23320,34475,37896,49437,53057,70681,69227,128261,121153,0.001,0.000,0.219,0.261,0.016,-0.002,0.0003,9.00,0.182,0.137,0.0176
Division No.8,4708,0,SK,47,4708,1405,1948,0.203,0.023,41.8,1.41,0.037,28897,0.331,0.553,42832,44099,24363,25616,38379,40021,53260,55503,74946,72984,134036,153137,0.000,0.001,0.178,0.269,0.018,-0.002,0.0003,8.41,0.212,0.199,0.0203
Division No.9,4709,1,SK,47,4709,1735,2638,0.219,0.020,39.4,0.94,0.045,26703,0.396,0.452,30235,39840,14400,22501,24883,36095,41102,50727,57367,67097,115931,125254,0.000,0.001,0.168,0.276,0.013,-0.002,0.0003,8.64,0.154,0.172,0.0153
Division No.10,4710,1,SK,47,4710,881,1414,0.203,0.029,40.9,1.31,0.034,25576,0.398,0.425,28510,39585,13432,21210,23090,37224,39009,53253,56055,69937,102300,113455,0.001,0.001,0.195,0.307,0.019,-0.003,0.0004,7.83,0.222,0.252,0.0223
Division No.11,4711,1,SK,47,4711,8157,11319,0.220,0.009,37.6,0.57,0.048,30307,0.357,0.509,44464,41637,25083,23581,39167,37316,55390,52784,77336,69632,165878,147204,0.001,0.002,0.247,0.262,0.008,-0.002,0.0001,8.78,0.077,0.157,0.0074
Division No. 12,4712,1,SK,47,4712,904,1348,0.182,0.027,38.6,1.49,0.034,30492,0.367,0.491,37484,39159,18534,21389,34100,34913,49026,50487,72370,66264,121274,121663,0.000,0.000,0.179,0.317,0.022,-0.002,0.0004,7.94,0.227,0.236,0.0221
Division No. 13,4713,1,SK,47,4713,1055,1541,0.089,0.026,49.5,1.52,0.008,30088,0.333,0.509,40178,44688,22732,27012,36234,41562,52821,55952,70372,70910,123714,158330,0.000,0.000,0.127,0.182,0.019,-0.001,0.0003,9.24,0.239,0.122,0.0230
Division No. 14,4714,1,SK,47,4714,1748,2681,0.207,0.019,40.1,0.95,0.042,28559,0.394,0.461,32121,39576,14550,22674,26762,36257,43109,52250,62480,68360,120940,110816,0.002,0.005,0.184,0.262,0.013,-0.002,0.0003,8.68,0.143,0.170,0.0142
Division No. 15,4715,1,SK,47,4715,3410,4978,0.207,0.014,38.6,0.74,0.043,29545,0.367,0.507,35393,39479,17912,22830,31657,35837,47457,51246,65445,66212,122535,124235,0.002,0.001,0.215,0.256,0.011,-0.002,0.0002,8.35,0.116,0.198,0.0113
Division No. 16,4716,1,SK,47,4716,1488,2258,0.310,0.021,33.3,1.02,0.086,29041,0.407,0.445,30102,37715,13439,19074,25319,33945,42481,50775,59085,67132,106839,116683,0.000,0.000,0.199,0.363,0.015,-0.003,0.0003,6.64,0.168,0.362,0.0168
Division No. 17,4717,1,SK,47,4717,1294,1937,0.320,0.022,33.1,1.16,0.095,30560,0.398,0.469,33218,40486,15021,19996,28999,34868,45581,52032,63249,70233,114605,134520,0.000,0.002,0.196,0.365,0.017,-0.004,0.0003,6.57,0.175,0.372,0.0173
Division No. 18,4718,1,SK,47,4718,679,1237,0.420,0.026,15.7,1.05,0.170,30825,0.532,0.286,21152,23596,3698,6516,13276,16589,34523,34853,53183,56681,82764,88134,0.000,0.000,0.386,0.704,0.020,-0.006,0.0005,6.36,0.221,0.343,0.0235
Division No.1,4801,0,AB,48,4801,2072,2904,0.198,0.018,41.4,1.14,0.039,31948,0.362,0.502,45912,45460,24853,25384,39922,39355,56801,55568,82731,73540,172044,160353,0.000,0.002,0.220,0.231,0.015,-0.001,0.0002,9.05,0.161,0.137,0.0153
Division No.2,4802,0,AB,48,4802,4625,6375,0.191,0.012,37.7,0.75,0.036,30095,0.356,0.522,43282,41407,23578,22642,37539,35903,53672,50884,77748,67101,145340,132830,0.000,0.002,0.228,0.296,0.011,-0.002,0.0002,8.75,0.112,0.156,0.0107
Division No.3,4803,1,AB,48,4803,1255,1760,0.300,0.022,30.1,1.22,0.093,30996,0.397,0.477,36857,39406,17329,18505,31626,32704,48326,48577,69954,65027,161765,117394,0.000,0.002,0.217,0.444,0.019,-0.005,0.0003,6.96,0.194,0.324,0.0190
Division No.4,4804,0,AB,48,4804,460,607,0.208,0.043,38.7,2.48,0.037,25237,0.309,0.592,39294,40338,23479,23829,35156,37119,48716,51977,67360,68307,121797,121479,0.000,0.000,0.133,0.227,0.032,-0.002,0.0006,8.35,0.403,0.199,0.0387
Division No.5,4805,1,AB,48,4805,1491,2051,0.235,0.022,36.3,1.29,0.053,31619,0.367,0.490,40690,40408,20814,21223,35761,36285,52433,52465,73325,69712,161880,126763,0.001,0.002,0.211,0.344,0.018,-0.003,0.0003,7.49,0.193,0.277,0.0186
Division No.6,4806,1,AB,48,4806,25241,33316,0.182,0.005,43.0,0.37,0.032,37211,0.392,0.423,55889,47812,29100,26008,46167,41124,66311,58341,99276,80279,252560,190564,0.002,0.002,0.279,0.211,0.005,-0.001,0.0001,9.02,0.049,0.141,0.0046
Division No.7,4807,0,AB,48,4807,1501,2025,0.193,0.022,41.8,1.29,0.036,31632,0.360,0.497,40219,42433,20631,23470,34846,38825,52263,56228,72219,71083,149037,132836,0.000,0.004,0.155,0.226,0.017,-0.001,0.0003,8.94,0.193,0.147,0.0186
Division No.8,4808,0,AB,48,4808,4114,5909,0.141,0.013,44.6,0.77,0.020,31461,0.358,0.495,41827,44567,22236,25116,37754,39134,53698,54913,73435,73598,144344,166753,0.001,0.002,0.246,0.191,0.010,-0.001,0.0002,9.29,0.110,0.114,0.0106
Division No.9,4809,1,AB,48,4809,689,968,0.223,0.032,40.5,1.67,0.048,29467,0.413,0.457,35694,41419,16124,23816,28784,38052,45591,53804,66655,71776,131081,121547,0.000,0.000,0.186,0.269,0.023,-0.002,0.0004,8.48,0.269,0.189,0.0265
Division No.10,4810,1,AB,48,4810,2930,4263,0.136,0.015,45.4,0.82,0.019,31080,0.379,0.477,36878,42989,17592,25054,32238,39096,48672,54139,68352,72830,128950,130175,0.001,0.001,0.202,0.225,0.011,-0.001,0.0002,9.42,0.123,0.102,0.0120
Division No.11,4811,1,AB,48,4811,30029,41895,0.203,0.005,41.6,0.31,0.041,33406,0.364,0.449,48338,45089,26698,25337,43314,40653,60104,57377,84231,76453,181240,153243,0.003,0.003,0.277,0.244,0.004,-0.002,0.0001,8.82,0.041,0.159,0.0039
Division No. 12,4812,1,AB,48,4812,1484,2214,0.252,0.021,38.6,1.07,0.059,30088,0.419,0.436,32280,40571,13775,21241,27575,37735,43864,53976,62272,70000,121882,126984,0.026,0.009,0.222,0.330,0.015,-0.003,0.0003,7.84,0.167,0.250,0.0167
Division No. 13,4813,1,AB,48,4813,2089,3063,0.143,0.019,45.1,0.93,0.019,28135,0.401,0.442,31918,42136,14794,23523,25493,37802,42929,56184,64154,74108,119171,118012,0.001,0.001,0.210,0.235,0.012,-0.001,0.0003,9.18,0.145,0.125,0.0144
Division No. 14,4814,0,AB,48,4814,537,754,0.095,0.032,49.3,2.02,0.011,36833,0.367,0.413,43174,43804,21677,28813,39599,41032,58509,55396,82325,72425,129517,119135,0.006,0.000,0.240,0.198,0.027,-0.001,0.0004,9.90,0.262,0.059,0.0252
Division No. 15,4815,0,AB,48,4815,606,777,0.197,0.035,37.4,2.27,0.039,33933,0.349,0.472,46687,42021,25748,22263,42308,37257,59680,52865,82498,67988,145268,189043,0.005,0.000,0.337,0.317,0.032,-0.002,0.0005,8.48,0.307,0.184,0.0292
Division No. 16,4816,1,AB,48,4816,2311,3307,0.264,0.015,37.8,1.04,0.081,52583,0.413,0.301,50616,45806,20054,22322,45739,40494,72638,61069,101331,83475,169048,151930,0.004,0.002,0.290,0.319,0.013,-0.002,0.0002,8.20,0.126,0.217,0.0121
Division No. 17,4817,1,AB,48,4817,1823,2995,0.344,0.018,30.3,0.79,0.107,28273,0.495,0.323,26336,34713,7987,15304,17806,30746,36260,48009,55971,65959,124601,110358,0.003,0.003,0.283,0.410,0.013,-0.004,0.0003,7.21,0.139,0.301,0.0143
Division No. 18,4818,1,AB,48,4818,575,833,0.315,0.033,33.3,1.79,0.099,36960,0.467,0.382,38015,39589,13087,17805,30086,35764,50047,55217,73285,72771,140008,122521,0.005,0.005,0.240,0.444,0.026,-0.004,0.0005,7.68,0.257,0.260,0.0254
Division No. 19,4819,1,AB,48,4819,2582,3746,0.156,0.015,46.6,0.87,0.027,34141,0.411,0.449,40178,45471,18052,26862,33730,40729,52193,57023,70882,74988,153091,158708,0.006,0.001,0.238,0.184,0.011,-0.001,0.0002,9.23,0.120,0.125,0.0117
East Kootenay Regional District,5901,1,BC,59,5901,1910,2790,0.180,0.018,38.2,1.24,0.033,32564,0.322,0.435,48950,40007,29627,23353,45751,37330,62191,52596,85730,67149,135055,116581,0.003,0.002,0.275,0.323,0.018,-0.002,0.0003,9.00,0.162,0.132,0.0153
Central Kootenay Regional District,5903,1,BC,59,5903,1626,2562,0.184,0.020,38.1,1.15,0.033,31547,0.340,0.492,39647,39413,21852,21257,37068,36668,53399,51445,70125,65743,113159,112095,0.002,0.002,0.231,0.308,0.017,-0.002,0.0003,8.86,0.171,0.144,0.0165
Kootenay Boundary Regional District,5905,0,BC,59,5905,1024,1543,0.236,0.026,36.9,1.70,0.052,33067,0.317,0.467,47037,42530,28856,23609,43346,38630,61923,55260,81173,70092,127151,123276,0.001,0.003,0.246,0.350,0.024,-0.003,0.0004,8.32,0.212,0.201,0.0201
Okanagan-Similkameen Regional District,5907,1,BC,59,5907,1772,2822,0.170,0.018,37.8,0.97,0.031,29432,0.379,0.508,36412,37455,18689,22074,32009,34347,48121,48723,67024,62934,131354,106802,0.002,0.003,0.270,0.294,0.015,-0.002,0.0003,9.12,0.149,0.118,0.0145
Fraser-Cheam Regional District,5909,1,BC,59,5909,1875,2699,0.144,0.019,39.0,1.07,0.022,29216,0.353,0.520,38589,37610,21483,21526,35104,34697,50699,49448,67505,64112,130914,106435,0.003,0.005,0.254,0.317,0.016,-0.002,0.0003,8.80,0.156,0.148,0.0152
Central Fraser Valley Regional District,5911,1,BC,59,5911,5297,7055,0.170,0.012,38.6,0.69,0.029,29498,0.355,0.519,41433,39384,22978,22088,37649,36065,52477,50359,73204,66491,139234,120287,0.000,0.001,0.259,0.262,0.010,-0.002,0.0002,9.03,0.097,0.128,0.0093
Dewdney-Alouette Regional District,5913,1,BC,59,5913,2466,3180,0.142,0.018,40.2,1.12,0.019,29412,0.338,0.512,43333,38981,25943,21720,40419,37334,55356,52038,72341,65620,151554,107503,0.001,0.002,0.290,0.267,0.016,-0.001,0.0003,9.03,0.157,0.126,0.0150
Greater Vancouver Regional District,5915,1,BC,59,5915,42994,51742,0.148,0.005,45.7,0.30,0.020,32213,0.365,0.467,49711,46365,28246,25715,43442,42433,60459,58528,85713,76231,197218,157067,0.002,0.003,0.285,0.217,0.004,-0.001,0.0001,9.24,0.040,0.119,0.0038
Capital Regional District,5917,1,BC,59,5917,7549,10843,0.173,0.010,37.2,0.61,0.030,30128,0.342,0.497,45370,39388,26749,21342,41821,35783,56878,50779,78408,65549,150078,132547,0.002,0.003,0.305,0.289,0.009,-0.002,0.0001,8.91,0.083,0.137,0.0079
Cowichan Valley Regional District,5919,1,BC,59,5919,1714,2689,0.171,0.019,37.4,1.11,0.031,32267,0.360,0.471,39870,37639,21805,20265,37356,35256,54072,50619,73786,65709,117627,116224,0.001,0.003,0.270,0.365,0.016,-0.003,0.0003,8.18,0.158,0.204,0.0153
Nanaimo Regional District,5921,1,BC,59,5921,2534,3883,0.157,0.016,36.9,0.94,0.025,31641,0.359,0.492,40518,37143,21834,18644,37663,34042,53475,50416,74540,64889,128831,123070,0.001,0.002,0.293,0.353,0.014,-0.002,0.0002,8.88,0.128,0.136,0.0124
Alberni-Clayoquot Regional District,5923,1,BC,59,5923,1194,1658,0.216,0.023,34.1,1.51,0.049,33820,0.341,0.448,45634,38186,26812,20462,41949,35456,60632,50404,81853,65721,121258,116938,0.002,0.003,0.243,0.358,0.022,-0.003,0.0003,8.40,0.196,0.184,0.0187
Comox-Strathcona Regional District,5925,1,BC,59,5925,2321,3395,0.146,0.017,38.3,1.05,0.022,32312,0.338,0.492,42880,37487,23956,20378,40324,35146,56268,49828,78076,66150,123268,101477,0.002,0.002,0.289,0.252,0.015,-0.001,0.0002,9.08,0.152,0.119,0.0145
Powell River Regional District,5927,1,BC,59,5927,721,1011,0.155,0.031,38.7,1.97,0.024,32965,0.333,0.473,43948,38149,27032,20173,41658,36054,59997,51834,78755,65923,116421,107485,0.006,0.001,0.233,0.351,0.029,-0.002,0.0005,8.84,0.247,0.143,0.0237
Sunshine Coast Regional District,5929,1,BC,59,5929,346,557,0.169,0.043,37.8,2.45,0.027,31604,0.357,0.492,38258,37333,18231,20350,34866,34316,49834,51508,69957,66889,107993,105894,0.000,0.006,0.254,0.311,0.038,-0.002,0.0007,8.55,0.393,0.169,0.0381
Squamish-Lillooet Regional District,5931,1,BC,59,5931,532,875,0.277,0.030,30.6,1.83,0.087,39094,0.390,0.411,39983,36441,16520,17355,37976,34536,55614,50561,78220,64867,112591,123644,0.000,0.000,0.318,0.475,0.028,-0.004,0.0005,7.13,0.272,0.300,0.0265
Thompson-Nicola Regional District,5933,1,BC,59,5933,3759,5329,0.204,0.014,36.9,0.85,0.041,30509,0.345,0.491,43476,39593,25535,21649,40111,36691,56044,52523,78057,67971,136154,112973,0.000,0.002,0.265,0.287,0.012,-0.002,0.0002,8.61,0.112,0.168,0.0108
Central Okanagan Regional District,5935,1,BC,59,5935,3249,4807,0.152,0.014,40.4,0.85,0.023,29557,0.355,0.525,41678,40034,22647,22372,37098,36991,52204,51319,71867,66546,156124,115637,0.002,0.002,0.278,0.235,0.012,-0.001,0.0002,8.98,0.126,0.134,0.0122
North Okanagan Regional District,5937,1,BC,59,5937,1876,2880,0.206,0.018,36.2,1.05,0.044,30985,0.363,0.494,40419,38125,21678,21305,35762,35336,52663,50440,72733,64945,136665,111503,0.001,0.001,0.285,0.282,0.016,-0.002,0.0003,8.63,0.153,0.165,0.0148
Columbia-Shuswap Regional District,5939,1,BC,59,5939,1307,2182,0.137,0.021,40.7,1.17,0.020,32439,0.365,0.476,37668,38121,18773,21837,34388,35855,51212,51200,68522,66183,119332,99695,0.000,0.001,0.282,0.282,0.017,-0.002,0.0003,9.22,0.167,0.110,0.0163
Cariboo Regional District,5941,1,BC,59,5941,2129,3046,0.253,0.017,34.1,1.01,0.065,33444,0.372,0.464,38347,38158,18943,19840,36237,35782,52387,51869,71378,67822,116642,112947,0.000,0.003,0.263,0.402,0.015,-0.004,0.0002,7.28,0.143,0.294,0.0139
Mount Waddington Regional District,5943,1,BC,59,5943,427,624,0.211,0.042,37.8,2.85,0.038,30251,0.302,0.452,47737,41625,31236,22119,46770,40483,61487,54939,80503,71526,123742,131518,0.005,0.005,0.279,0.318,0.038,-0.002,0.0006,8.03,0.412,0.223,0.0390
Central Coast Regional District,5945,1,BC,59,5945,63,128,0.618,0.087,7.2,3.87,0.286,21997,0.406,0.390,27836,24908,13182,7480,23038,14428,35178,42051,56395,58965,98364,79099,0.000,0.000,0.317,0.927,0.066,-0.010,0.0014,3.37,0.939,0.628,0.0945
Skeena-Queen Charlotte Regional District,5947,1,BC,59,5947,723,1059,0.384,0.033,21.6,2.05,0.116,30895,0.314,0.489,43646,35236,25092,14852,42020,32755,55988,51270,71793,65614,139862,105852,0.004,0.003,0.302,0.563,0.032,-0.005,0.0005,7.05,0.335,0.298,0.0320
Kitimat-Stikine Regional District,5949,1,BC,59,5949,1454,2198,0.385,0.019,24.8,1.22,0.152,40924,0.378,0.375,43216,38082,19516,16619,41784,35409,60440,52781,80336,68725,125203,129610,0.003,0.002,0.258,0.516,0.019,-0.005,0.0003,6.50,0.178,0.360,0.0172
Bulkley-Nechako Regional District,5951,1,BC,59,5951,1345,2241,0.237,0.021,34.5,1.16,0.055,32251,0.380,0.466,37045,38477,18172,19654,34090,36493,50423,50434,69132,66440,118236,113652,0.001,0.003,0.259,0.402,0.017,-0.003,0.0003,7.34,0.184,0.285,0.0180
Fraser-Fort George Regional District,5953,1,BC,59,5953,3515,4598,0.184,0.014,39.7,0.93,0.034,32273,0.336,0.458,45281,41368,26819,23160,42716,38426,59092,54338,78796,69066,139661,119745,0.001,0.001,0.302,0.285,0.013,-0.002,0.0002,8.89,0.119,0.145,0.0114
Peace River-Liard Regional District,5955,1,BC,59,5955,1948,3034,0.230,0.017,40.9,0.97,0.055,35020,0.392,0.439,36906,42970,15722,24141,33396,39153,50742,56499,70243,73007,119648,125221,0.002,0.002,0.279,0.288,0.013,-0.002,0.0002,8.58,0.136,0.182,0.0133
Stikine Region,5957,1,BC,59,5957,38,62,0.572,0.093,11.1,5.58,0.387,52337,0.428,0.256,37441,32389,7634,7922,39807,33269,59971,49473,77425,66167,87733,133415,0.000,0.000,0.447,0.726,0.112,-0.007,0.0018,3.10,1.182,0.670,0.1171
Yukon,6001,1,YT,60,6001,802,1326,0.176,0.026,38.5,1.58,0.034,41466,0.369,0.367,41363,39070,17710,21476,40189,35128,59176,53685,73387,69224,128087,115686,0.002,0.001,0.390,0.311,0.023,-0.002,0.0004,8.61,0.221,0.167,0.0213
Baffin Region,6104,0,NT,61,6104,312,644,0.212,0.049,31.5,1.79,0.029,26686,0.492,0.332,20983,31655,4904,12071,15823,23675,31590,46445,45651,71142,78366,97886,0.022,0.000,0.321,0.438,0.029,-0.002,0.0008,9.37,0.294,0.069,0.0310
Keewatin Region,6105,0,NT,61,6105,176,352,0.195,0.060,32.2,2.19,0.029,22866,0.449,0.338,21005,31298,7029,16510,17542,24730,29895,43197,44807,59479,83549,88184,0.011,0.000,0.318,0.396,0.039,-0.002,0.0011,8.94,0.331,0.125,0.0346
Fort Smith Region,6106,1,NT,61,6106,900,1451,0.272,0.025,35.4,1.46,0.077,45989,0.432,0.331,38930,40693,12159,18722,33843,35563,58147,57996,77282,78713,121361,110073,0.007,0.003,0.390,0.352,0.020,-0.003,0.0003,8.27,0.187,0.203,0.0184
Inuvik Region,6107,0,NT,61,6107,255,506,0.284,0.044,28.7,1.88,0.076,31276,0.486,0.305,24545,30867,6146,14038,17666,26403,37421,46063,56382,59089,86253,95062,0.000,0.000,0.482,0.522,0.034,-0.004,0.0008,9.08,0.367,0.095,0.0380
Kitikmeot Region,6108,0,NT,61,6108,114,246,0.067,0.066,30.3,2.44,0.004,23819,0.490,0.404,20366,27450,4397,13712,14441,21139,28216,37478,46511,53960,79826,87847,0.000,0.000,0.395,0.285,0.047,0.002,0.0013,10.13,0.402,-0.019,0.0426
