census.division.name,CD86,native.reserve,province.name,province,census.division,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
Saint John County,1301,0,NB,13,1301,3400,3893,0.250,0.015,32.3,0.85,0.066,26523,0.365,0.550,37557,36840,21422,20354,34096,33231,47946,47738,69405,62258,123613,121101,0.006,0.007,0.326,0.353,0.013,-0.003,0.0002,8.55,0.109,0.172,0.0107
Charlotte County,1302,0,NB,13,1302,1066,1417,0.227,0.029,33.2,1.36,0.041,20102,0.323,0.592,30569,35148,18385,19852,27372,31715,38487,45127,52770,60855,98640,105589,0.004,0.004,0.257,0.263,0.021,-0.002,0.0005,8.82,0.231,0.143,0.0228
Sunbury County,1303,1,NB,13,1303,850,1020,0.313,0.031,27.9,1.60,0.090,20704,0.323,0.630,33617,34418,21139,20799,32189,31008,41843,44453,58015,61227,108021,102639,0.014,0.011,0.252,0.373,0.027,-0.003,0.0005,8.12,0.230,0.210,0.0226
Queens County,1304,0,NB,13,1304,497,690,0.215,0.039,31.6,1.57,0.043,22955,0.379,0.481,24967,31954,11945,19301,22794,29469,34900,41391,46054,54469,82917,108780,0.012,0.000,0.252,0.346,0.028,-0.003,0.0007,8.84,0.252,0.137,0.0256
Kings County,1305,0,NB,13,1305,2543,3127,0.265,0.017,33.4,0.97,0.069,27230,0.366,0.539,37994,38618,20583,21268,33586,33708,47812,49547,69382,66712,136675,121288,0.006,0.006,0.234,0.304,0.014,-0.002,0.0003,8.57,0.136,0.173,0.0132
Albert County,1306,0,NB,13,1306,1332,1595,0.226,0.025,36.8,1.48,0.049,26693,0.338,0.551,41425,39984,24325,23123,36612,36359,51018,50924,73139,69473,146317,132732,0.011,0.010,0.252,0.206,0.019,-0.001,0.0003,8.55,0.219,0.179,0.0210
Westmorland County,1307,1,NB,13,1307,4729,5844,0.256,0.013,33.5,0.67,0.067,25466,0.370,0.556,35808,37305,19892,22066,31386,33409,45357,47888,63667,63081,133505,114748,0.111,0.099,0.274,0.267,0.010,-0.002,0.0002,8.73,0.093,0.157,0.0091
Kent County,1308,1,NB,13,1308,1519,2177,0.301,0.024,30.8,0.89,0.067,16173,0.354,0.498,23420,32951,14015,20351,21288,29753,30188,41966,41601,55110,81257,95395,0.317,0.205,0.246,0.308,0.015,-0.003,0.0004,8.39,0.134,0.188,0.0137
Northumberland County,1309,1,NB,13,1309,2735,3723,0.349,0.016,27.8,0.71,0.108,21388,0.398,0.457,26973,33063,13959,18078,22434,29147,35347,43792,52249,59550,96531,96265,0.160,0.169,0.240,0.377,0.012,-0.004,0.0003,8.16,0.106,0.207,0.0107
York County,1310,1,NB,13,1310,3293,4098,0.263,0.015,34.0,0.87,0.070,29825,0.369,0.520,40445,40175,21673,22581,34959,34739,51499,50237,74235,68801,147647,153983,0.016,0.012,0.239,0.299,0.012,-0.003,0.0002,8.43,0.125,0.188,0.0121
Carleton County,1311,1,NB,13,1311,1098,1510,0.262,0.026,30.0,1.06,0.061,20554,0.424,0.463,26116,32237,11986,18230,21798,28486,32540,42335,46035,54450,102296,94871,0.001,0.004,0.227,0.314,0.019,-0.003,0.0005,8.86,0.166,0.135,0.0169
Victoria County,1312,1,NB,13,1312,968,1351,0.400,0.030,25.7,1.14,0.119,19104,0.386,0.471,24204,31943,12830,17706,21152,27931,31935,42451,43794,56538,79037,109601,0.185,0.197,0.248,0.406,0.021,-0.004,0.0005,7.73,0.178,0.248,0.0182
Madawaska County,1313,1,NB,13,1313,1589,2182,0.254,0.022,34.6,0.98,0.058,24281,0.419,0.470,27905,36661,12811,19654,23590,31806,37093,48145,53577,65141,103458,123589,0.801,0.835,0.225,0.279,0.015,-0.002,0.0003,9.08,0.130,0.124,0.0132
Restigouche County,1314,1,NB,13,1314,1705,2327,0.269,0.020,32.2,0.96,0.070,25745,0.404,0.492,30085,34956,14467,18790,26580,31601,40212,46307,58032,61401,103239,107013,0.412,0.474,0.262,0.311,0.015,-0.002,0.0003,8.77,0.129,0.150,0.0130
Gloucester County,1315,1,NB,13,1315,4626,6384,0.300,0.012,28.2,0.55,0.090,23008,0.417,0.482,29193,32688,14310,17486,24158,28659,37318,43422,56965,58225,116468,102380,0.694,0.723,0.238,0.412,0.010,-0.003,0.0002,8.51,0.077,0.169,0.0078
Iles-de-la-Madeleine,2401,0,QC,24,2401,732,1282,0.242,0.027,30.6,1.18,0.057,18665,0.341,0.532,27731,32583,17009,19859,23306,29948,35674,40840,50722,53491,86779,93365,0.970,0.963,0.193,0.297,0.021,-0.003,0.0005,8.40,0.205,0.183,0.0204
Gaspe-Est,2402,0,QC,24,2402,1130,2011,0.298,0.020,28.3,0.95,0.097,26137,0.406,0.491,29582,33348,13938,17424,25019,30265,40075,42871,60541,56863,104274,119592,0.926,0.918,0.209,0.401,0.017,-0.003,0.0004,8.18,0.133,0.205,0.0133
Gaspe-Ouest,2403,0,QC,24,2403,405,757,0.295,0.037,31.9,1.49,0.080,24293,0.435,0.375,24012,33882,9590,18309,19729,30553,33883,44784,52192,57680,81035,104826,0.985,0.988,0.195,0.332,0.024,-0.003,0.0006,8.35,0.209,0.194,0.0216
Bonaventure,2404,1,QC,24,2404,1047,1843,0.304,0.022,32.8,0.99,0.093,25417,0.425,0.401,27621,35779,12251,20273,22708,32561,37668,47226,57116,60832,102158,99004,0.898,0.867,0.216,0.334,0.016,-0.003,0.0003,8.33,0.148,0.198,0.0150
Matapedia,2405,0,QC,24,2405,586,1056,0.296,0.032,32.2,1.23,0.076,21223,0.410,0.411,23501,33969,10891,20067,19502,30098,32114,43649,45633,57807,93010,103591,1.000,0.990,0.179,0.272,0.021,-0.002,0.0005,8.84,0.170,0.147,0.0175
Matane,2406,0,QC,24,2406,969,1613,0.241,0.023,34.3,1.11,0.062,27092,0.413,0.466,29824,35756,13994,20505,25515,32428,41086,46792,57189,60490,105963,112747,0.998,0.991,0.235,0.313,0.017,-0.003,0.0004,8.82,0.144,0.148,0.0145
Rimouski,2407,0,QC,24,2407,2394,3323,0.243,0.016,34.3,0.83,0.066,29312,0.389,0.491,34910,37203,17542,21955,29119,33649,46855,47242,66882,63138,125822,115391,0.999,0.993,0.210,0.279,0.013,-0.002,0.0002,8.68,0.116,0.163,0.0114
