census.subdivision,census.division,province.name,province,CSD1986_ID,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
277,1,NL,10,1001277,71,101,0.13,0.136,45.2,5.13,0.009,21952,0.326,0.455,24896,50580,13273,25401,19524,42565,35225,67988,43411,82864,114027,212318,0,0,0.155,0.176,0.057,-0.002,0.001,7.6,0.793,0.301,0.08
281,1,NL,10,1001281,76,123,0.179,0.152,40.5,5.15,0.011,10095,0.243,0.511,23843,44758,18279,27660,21953,37631,28374,65847,35471,84066,57934,106076,0,0,0.092,0.147,0.074,0.002,0.002,10,0.954,0.048,0.096
285,1,NL,10,1001285,119,188,0.03,0.093,42.5,3.46,0.001,18588,0.302,0.521,24664,43947,14565,23298,22745,40561,33154,53351,39916,71246,62856,151096,0,0,0.168,0.159,0.053,0.001,0.001,10.5,0.627,0.003,0.063
289,1,NL,10,1001289,88,136,-0.091,0.121,52.9,4.22,0.004,17857,0.274,0.576,24094,47483,13557,34377,24647,45490,31415,60139,35301,70411,52219,95757,0,0,0.091,0.02,0.06,0.004,0.002,11.2,0.861,-0.056,0.087
293,1,NL,10,1001293,130,211,0.462,0.108,26.5,3.73,0.081,14791,0.253,0.521,24061,40435,15458,20271,22855,35535,30249,50654,39211,85075,54695,118922,0,0,0.154,0.315,0.064,-0.001,0.002,8,0.898,0.243,0.09
298,1,NL,10,1001298,127,203,0.359,0.086,32.9,3.35,0.08,24479,0.373,0.531,24238,45716,11595,21690,24193,38721,36074,60861,41454,83389,75554,196258,0,0,0.165,0.361,0.048,-0.005,0.001,8.6,0.433,0.193,0.045
304,1,NL,10,1001304,372,612,0.286,0.051,32.5,1.76,0.048,14223,0.311,0.432,23244,39869,14735,24107,20425,36658,28959,51776,39687,67310,75624,111035,0,0.005,0.164,0.272,0.031,-0.001,0.001,9.2,0.371,0.122,0.038
308,1,NL,10,1001308,49,82,-0.063,0.246,33.2,6.01,0.001,4769,0.176,0.225,18984,31540,15766,18879,17043,24838,20535,44625,32935,57990,36128,82130,0,0,0.041,0.342,0.121,-0.002,0.005,9.7,2.607,0.049,0.266
312,1,NL,10,1001312,109,181,0.367,0.127,31.8,3.46,0.044,11209,0.278,0.327,19143,40980,13123,21884,17287,34777,24332,50635,33336,70583,46748,220113,0,0,0.257,0.388,0.061,-0.005,0.002,9.6,0.632,0.085,0.065
316,1,NL,10,1001316,74,133,-0.073,0.185,41.4,3.99,0.001,10128,0.316,0.19,15269,38812,8261,21706,15899,35492,18389,51774,28334,66207,40156,105497,0,0,0.216,0.317,0.065,-0.005,0.003,9,0.817,0.141,0.086
321,1,NL,10,1001321,86,144,0.337,0.111,30.6,3.99,0.061,12939,0.267,0.483,24382,40563,18134,24147,24026,34935,31073,48549,41948,67239,54565,117707,0,0,0.163,0.323,0.069,-0.003,0.002,7.8,0.647,0.263,0.065
325,1,NL,10,1001325,69,115,0.334,0.143,33.4,4.06,0.046,13644,0.328,0.306,19013,39799,10685,20647,17295,36193,24329,52563,35931,74088,44670,98137,0,0,0.217,0.225,0.069,0.001,0.002,10.1,0.702,0.032,0.073
328,1,NL,10,1001328,33,62,-0.536,0.189,52.7,5,0.118,14709,0.284,0.272,18521,39877,11844,25414,16357,32432,26553,47663,28921,70848,55470,106241,0,0,0.121,-0.15,0.074,0.015,0.003,13.6,1.05,-0.319,0.108
332,1,NL,10,1001332,68,101,0.373,0.135,31.3,4.41,0.072,12203,0.342,0.401,22534,39970,12980,20988,18842,36810,25183,57532,40235,70513,165806,98021,0,0,0.132,0.385,0.073,-0.005,0.002,7,0.791,0.352,0.081
335,1,NL,10,1001335,49,77,0.302,0.155,29.2,5.4,0.049,11349,0.27,0.405,24391,39784,16977,22492,20816,31357,28326,49772,36030,70834,85215,170208,0,0,0.102,0.397,0.088,-0.006,0.003,7.5,1.515,0.288,0.152
